UIN,Complete15under,Q1_rate_1,Q1_rate_2,Q1_rate_3,Q1_rate_4,Q1_rate_5,Q1_rate_6,Q1_rate_7,Q2_rate_1,Q2_rate_2,Q2_rate_3,Q2_rate_4,Q2_rate_5,Q2_rate_6,Q2_rate_7,Q3_rate_1,Q3_rate_2,Q3_rate_3,Q3_rate_4,Q3_rate_5,Q3_rate_6,Q3_rate_7,Q4_rate_1,Q4_rate_2,Q4_rate_3,Q4_rate_4,Q4_rate_5,Q4_rate_6,Q4_rate_7,Q5_rate_1,Q5_rate_2,Q5_rate_3,Q5_rate_4,Q5_rate_5,Q5_rate_6,Q5_rate_7,Q6_rate_1,Q6_rate_2,Q6_rate_3,Q6_rate_4,Q6_rate_5,Q6_rate_6,Q6_rate_7,Q7_rate_1,Q7_rate_2,Q7_rate_3,Q7_rate_4,Q7_rate_5,Q7_rate_6,Q7_rate_7,Q8_rate_1,Q8_rate_2,Q8_rate_3,Q8_rate_4,Q8_rate_5,Q8_rate_6,Q8_rate_7,HighTrustNetwork,HighEmoCloseNetwork,LowTrustNetwork,LowEmoCloseNetwork
43,1,100,95,96,85,61,63,97,58,69,60,90,88,85,77,93,80,88,82,63,88,53,65,71,58,82,82,81,67,50,78,72,69,58,51,83,61,73,68,92,82,70,76,67,74,68,91,85,85,90,91,89,69,89,58,89,90,73.25,72.5,73,72.25
44,1,84,99,92,73,18,50,82,90,59,69,28,17,63,86,83,57,53,64,38,68,55,100,77,89,28,40,44,56,67,59,87,70,46,43,56,85,55,51,64,36,58,50,74,66,62,43,48,54,32,83,68,85,70,26,29,61,85.75,73.5,80.75,73.5
45,1,92,92,100,81,58,64,90,70,78,80,56,72,75,72,100,98,77,64,26,33,75,82,77,66,77,60,24,68,87,79,80,69,42,30,71,75,72,81,72,71,73,76,72,65,68,58,70,57,74,76,77,73,37,64,71,85,80.25,78.75,83.25,77.5
46,1,90,92,88,92,86,91,92,83,76,85,74,84,76,85,79,80,73,76,69,64,93,75,83,82,81,78,83,72,86,77,89,65,87,85,85,72,84,50,97,85,85,92,50,58,49,64,65,69,75,53,82,50,88,92,93,96,71.75,67.25,75.25,74.25
47,1,41,33,35,40,29,48,46,25,50,26,23,40,4,4,50,41,50,35,42,39,40,31,28,34,33,35,22,40,48,50,50,46,47,47,45,50,50,50,43,40,55,51,24,21,12,40,50,44,7,42,48,50,49,50,40,34,36.5,32.75,41.25,44
48,1,75,76,73,56,50,55,61,100,85,85,67,24,37,81,68,61,45,40,70,57,55,75,80,53,65,61,80,67,100,66,100,100,70,40,73,100,57,100,78,58,57,71,100,83,91,66,62,59,74,100,85,87,43,42,60,74,87.5,79.25,92,79.25
49,1,92,97,96,96,95,95,89,100,82,85,93,95,95,96,98,97,100,92,98,97,91,100,97,91,92,89,96,94,89,95,83,94,98,88,91,100,95,95,100,94,96,94,100,98,100,89,95,93,92,100,92,91,90,94,95,93,98,95.5,96.75,89.75
50,1,75,76,74,50,16,32,75,39,39,1,25,30,40,1,91,50,50,78,25,79,50,30,8,0,28,25,29,0,31,35,0,33,34,36,0,23,40,0,33,31,32,1,86,73,82,32,21,28,65,31,30,0,31,29,29,0,53.5,39,48,12.75
51,1,100,75,75,50,50,25,100,75,75,74,10,9,9,50,50,50,50,0,0,0,50,100,0,100,0,0,0,0,100,75,100,0,0,0,75,50,50,50,0,0,0,50,100,75,100,50,50,50,75,50,25,50,0,0,0,50,87.5,81.25,68.75,68.5
52,1,91,77,100,50,0,1,76,100,100,100,75,9,32,78,100,100,50,75,#NULL!,#NULL!,#NULL!,100,50,80,76,70,78,29,73,50,50,53,50,20,31,100,62,100,50,10,20,100,100,23,79,23,9,76,22,60,79,77,60,11,27,61,97.75,89.75,83.25,69.25
