ID,dorm,Empathy_Factor,NegAffect_Factor,PosAffect_Factor,LifeSatTransf_Factor,inDegreeQ1,inDegreeQ2,inDegreeQ3,inDegreeQ4,inDegreeQ5,inDegreeQ6,inDegreeQ7,inDegreeQ8,inDegreeQ9,high_trust,low_trust,high_fun,low_fun
18,1,4.97,3.38,2.34,6.7,1,1,0,1,1,0,0,0,9,0.5,0.5,0.5,0.5
19,1,6.04,3.57,1.63,1.65,5,4,3,2,4,3,2,3,3,3,3.5,3.75,2.75
20,1,6.55,2.53,2.38,11.64,5,4,5,3,3,4,6,2,3,4.5,3.5,3.75,4.25
21,1,4.18,3.57,2.28,6.01,7,6,3,1,6,4,3,3,0,3.75,4.5,5,3.25
22,1,6.68,3.53,2.1,8.2,5,4,1,0,3,0,1,0,1,1.5,2,2.25,1.25
23,1,8.35,2.28,2.68,8.31,3,2,2,2,2,2,2,3,2,2.25,2.25,2.5,2
24,1,5.09,3.34,2.19,8.25,5,5,0,0,2,1,0,6,3,1.5,3.25,4.25,0.5
25,1,5.47,4.05,1.73,2.53,5,4,3,2,6,3,1,3,9,2.75,4,3.75,3
26,1,6.18,2.97,2.6,5.18,3,2,2,1,2,1,1,1,0,1.5,1.75,1.75,1.5
27,1,6.88,3.69,2.35,6.9,6,6,2,4,3,4,5,4,0,4.75,3.75,5,3.5
28,1,4.93,1.7,2.55,10.44,12,14,4,4,6,3,5,8,2,6,8,9.25,4.75
29,1,6.72,3.66,1.98,8.25,4,1,2,0,2,2,3,2,1,2.25,1.75,2.25,1.75
30,1,6.04,3.03,2.1,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,7.04,3.51,2.51,10.44,5,4,4,4,5,4,5,4,3,4.5,4.25,4.25,4.5
32,1,5.22,4.18,2.15,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,6.59,3.17,1.63,9.68,2,1,0,0,0,0,0,0,0,0.5,0.25,0.75,0
34,1,5.29,2.94,2.48,9.56,5,5,1,1,3,1,1,4,0,2,3.25,3.75,1.5
35,1,7.14,2.88,2.79,12.84,3,3,1,1,3,2,2,3,2,2,2.5,2.75,1.75
36,1,5.89,3.91,1.73,6.55,1,1,1,1,1,1,0,0,0,0.75,0.75,0.75,0.75
37,1,6.32,3.81,2.14,5.86,5,4,2,2,3,2,1,5,1,2.5,3.5,4,2
38,1,4.13,3.49,1.82,4.58,1,1,1,1,1,1,0,1,0,0.75,1,1,0.75
39,1,5.79,4,1.84,7.64,3,2,0,0,1,0,0,0,0,0.75,0.75,1.25,0.25
40,1,4.94,4.01,1.72,6.55,4,3,2,1,2,0,0,1,2,1.25,2,2,1.25
41,1,6.79,3.01,2.31,9.62,6,6,3,3,4,5,6,7,0,5,5,6,4
42,1,5.09,3.75,2.11,5.05,6,4,4,4,5,4,5,6,6,4.75,4.75,5,4.5
43,1,5.19,3.55,2.18,5.82,2,1,0,0,0,0,0,5,1,0.5,1.5,2,0
44,1,7.29,2.57,2.73,10.44,7,4,3,2,4,2,3,5,2,3.5,4,4.5,3
45,1,6.25,3.34,2.08,10.18,9,8,5,2,4,6,3,6,0,5,5.75,7.25,3.5
46,1,5.77,2.32,2.14,10.18,12,8,4,4,7,6,6,8,0,7,6.75,8.5,5.25
47,1,5.7,2.42,2.09,4.02,2,3,2,2,2,2,2,3,0,2,2.5,2.5,2
48,1,7.94,4.44,2.06,3.61,8,5,3,4,4,4,4,4,1,5,4,5.25,3.75
49,1,7.27,2.91,2.54,10.18,6,4,6,3,5,4,3,2,4,4,4.25,4,4.25
50,1,4.65,2.13,2.11,7.86,4,4,4,3,4,3,5,4,0,3.75,4,3.75,4
51,1,6.35,3.29,1.87,7.21,3,3,1,1,1,1,0,1,0,1.25,1.5,2,0.75
52,1,4.45,3.82,1.6,11.37,0,1,0,0,1,0,0,0,1,0,0.5,0.25,0.25
53,1,5.71,2.64,2.43,8.72,4,3,1,1,2,2,0,2,2,1.75,2,2.75,1
101,2,6.45,2.81,2.28,9.07,4,4,1,1,3,2,1,4,0,2,3,3.5,1.5
102,2,5.29,2.96,1.71,6.55,0,0,0,0,0,0,0,2,2,0,0.5,0.5,0
103,2,7.78,1.58,2.49,8.95,5,4,5,4,4,5,3,4,0,4.25,4.25,4.5,4
104,2,6.56,3.95,2.47,8.72,2,2,2,1,2,2,3,3,0,2,2.25,2.25,2
105,2,7.2,3.13,2.01,8.89,3,3,2,2,4,4,4,2,0,3.25,2.75,3,3
106,2,6.96,2.75,2.11,5.36,4,5,2,2,2,2,2,2,1,2.5,2.75,3.25,2
107,2,6.38,2.98,2.06,8.08,6,6,5,4,4,5,3,2,1,4.5,4.25,4.75,4
108,2,8.18,3.46,2.4,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,5.51,3.9,1.64,5.31,5,5,3,2,4,3,3,3,0,3.25,3.75,4,3
110,2,5.28,2.62,1.8,9.93,3,3,0,0,2,0,0,1,4,0.75,1.5,1.75,0.5
111,2,5.88,4.58,1.55,5,5,5,3,3,3,5,3,3,0,4,3.5,4.5,3
112,2,6.95,3.68,2.44,8.25,6,5,5,4,5,5,4,5,1,4.75,5,5.25,4.5
114,2,5.26,2.76,1.78,2.98,3,3,2,1,2,0,0,0,0,1,1.75,1.5,1.25
115,2,6.93,2.26,2.57,12.12,2,1,1,0,0,0,0,1,2,0.5,0.75,1,0.25
116,2,5.6,3.85,2.35,5.86,1,1,1,1,1,1,1,1,0,1,1,1,1
117,2,5.53,2.95,2.18,6.25,4,2,1,2,2,1,1,2,0,2,1.75,2.25,1.5
118,2,5.91,2.02,2.34,9.56,7,5,5,5,6,5,3,4,1,5,5,5.25,4.75
119,2,5.61,2.46,1.74,4.46,3,5,1,0,1,0,0,2,0,0.75,2.25,2.5,0.5
120,2,6.4,3.49,2.11,3.75,4,3,2,2,3,1,2,3,0,2.25,2.75,2.75,2.25
121,2,5.13,3.52,1.73,5.49,4,3,3,1,0,1,3,1,2,2.25,1.75,2.25,1.75
122,2,7.2,3.22,1.72,1.41,5,3,2,2,2,2,3,0,2,3,1.75,2.5,2.25
123,2,5.24,2.74,1.76,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,6.57,4.6,2.05,3.79,4,3,2,1,2,1,1,2,1,1.75,2.25,2.5,1.5
125,2,5.8,3.53,2.4,8.54,6,5,5,5,5,5,2,2,1,4.5,4.25,4.5,4.25
126,2,6,3.17,2.04,9.74,2,2,2,2,2,3,4,3,0,2.75,2.25,2.5,2.5
127,2,5.46,3.34,2.19,8.25,0,0,0,0,0,0,0,0,1,0,0,0,0
128,2,4.76,3.02,2.28,8.72,7,6,6,3,5,6,3,3,1,4.75,5,5.5,4.25
130,2,5.9,3.19,2.07,5.72,4,5,3,3,4,4,1,4,0,3,4,4.25,2.75
131,2,6.38,4.65,2,1.93,1,2,1,0,1,0,0,1,0,0.25,1.25,1,0.5
132,2,5.38,2.3,1.77,11.16,5,2,3,1,5,1,0,1,2,1.75,2.75,2.25,2.25
133,2,5.7,3.33,1.51,7.48,4,4,2,2,4,3,4,3,0,3.25,3.25,3.5,3
134,2,5.12,3.29,2.13,8.48,7,5,4,2,2,2,2,3,0,3.25,3.5,4.25,2.5
136,2,5.82,3.21,2.26,6.7,9,6,6,6,7,7,4,6,0,6.5,6.25,7,5.75
137,2,4.02,3.32,1.44,2.5,2,1,0,0,1,0,0,0,1,0.5,0.5,0.75,0.25
138,2,5.75,3.55,2.13,7.86,0,0,0,0,0,0,0,1,0,0,0.25,0.25,0
139,2,5.31,2.92,2.09,7.48,5,5,5,3,5,4,2,1,2,3.5,4,3.75,3.75
140,2,5.58,2.47,1.96,3.25,6,6,1,3,3,2,1,2,0,3,3,4,2
141,2,4.64,4.3,1.79,7.81,4,4,3,3,4,2,2,2,0,2.75,3.25,3,3
142,2,5.93,3.35,2.15,7.86,5,5,2,2,2,2,2,2,0,2.75,2.75,3.5,2
143,2,5.65,3.37,2.06,6.35,2,1,1,1,1,0,0,0,6,0.75,0.75,0.75,0.75
145,2,6.19,2.81,1.59,7.53,1,1,1,0,1,1,0,1,0,0.5,1,1,0.5
146,2,7.33,2.17,2.35,9.56,5,4,4,4,4,5,7,6,0,5.25,4.5,5,4.75
147,2,6.59,4.32,1.87,0,3,1,1,3,2,2,3,1,0,2.75,1.25,1.75,2.25
201,3,6.42,4.46,1.84,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1
202,3,7,2.6,2.37,9.56,1,0,0,0,0,1,0,1,0,0.5,0.25,0.75,0
203,3,6.06,3.95,2.52,9.07,1,1,0,1,1,1,0,0,0,0.75,0.5,0.75,0.5
204,3,6.6,4.55,1.65,3.75,6,5,2,3,3,4,4,3,0,4.25,3.25,4.5,3
205,3,6.78,4.27,1.5,0.15,5,2,0,2,2,2,1,1,0,2.5,1.25,2.5,1.25
206,3,8.06,2.64,2.38,5.54,7,4,5,3,4,4,6,11,1,5,6,6.5,4.5
207,3,5.59,3.6,1.91,12.12,0,0,0,0,0,0,0,1,0,0,0.25,0.25,0
208,3,4.86,2.76,2.27,9.74,10,7,4,2,4,6,4,6,2,5.5,5.25,7.25,3.5
